               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11817,            0.052321,            0.041265,           0.0083962,            0.026796,           0.0013143,           0.0002053,              0.1111,              0.0484,            0.040183,             0.00018,             0.00018,             0.09838
                   1,             0.11216,            0.055807,            0.039843,            0.013578,            0.050606,           0.0033037,          0.00050172,             0.10409,            0.051353,            0.038729,          0.00036993,          0.00036993,             0.09667
                   2,             0.10547,            0.058713,            0.038229,            0.047681,            0.089179,            0.020867,           0.0037281,            0.097567,            0.054265,            0.036958,          0.00055956,          0.00055956,             0.09496
