               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048996,            0.037064,           0.0070308,             0.69403,             0.56941,             0.62345,              0.2308,            0.048559,            0.037009,           0.0067836,           0.0068228,           0.0068228,            0.036623
                  37,            0.050914,            0.037427,            0.007128,             0.68429,             0.77994,             0.76453,             0.34196,            0.041858,            0.032074,             0.00538,           0.0069962,           0.0069962,            0.034896
                  38,            0.049009,            0.034833,           0.0066993,             0.83385,             0.70411,             0.81651,             0.42449,            0.039747,            0.032285,           0.0054623,           0.0071687,           0.0071687,            0.033169
                  39,            0.046162,            0.036096,           0.0074713,              0.7268,             0.76451,             0.79647,             0.38878,            0.041466,            0.031168,           0.0050704,           0.0073403,           0.0073403,             0.03144
                  40,            0.045568,            0.037147,           0.0066904,             0.69758,             0.72222,             0.73846,             0.33296,            0.044709,            0.035648,           0.0069095,            0.007511,            0.007511,            0.029711
                  41,            0.049739,            0.035962,           0.0071876,             0.80035,             0.76085,             0.82226,             0.38748,            0.038781,             0.03208,            0.005237,           0.0076806,           0.0076806,            0.027981
                  42,            0.046165,            0.035056,           0.0069219,             0.79168,             0.81749,              0.8386,               0.406,            0.039787,            0.032095,            0.004995,           0.0078494,           0.0078494,            0.026249
                  43,            0.045639,            0.036339,            0.006858,             0.71443,             0.68967,             0.69354,             0.31512,            0.044122,            0.036071,           0.0057035,           0.0080171,           0.0080171,            0.024517
                  44,            0.049684,             0.03535,           0.0067899,             0.74594,             0.79023,             0.81442,             0.37784,            0.042081,             0.03176,           0.0050037,           0.0081838,           0.0081838,            0.022784
                  45,            0.051886,            0.037991,           0.0067769,             0.78126,             0.77605,             0.79777,             0.37748,             0.04223,            0.032375,            0.005341,           0.0083494,           0.0083494,            0.021049
                  46,            0.051692,            0.037226,           0.0068383,             0.78462,             0.77208,              0.7537,             0.35652,            0.039766,            0.032668,           0.0050062,            0.008514,            0.008514,            0.019314
                  47,            0.049037,            0.034554,            0.006949,             0.75487,             0.72013,             0.76022,             0.30631,            0.046139,            0.034915,           0.0056123,           0.0086775,           0.0086775,            0.017577
                  48,            0.049189,            0.033959,           0.0068537,             0.78647,               0.751,             0.79909,             0.33243,            0.043279,            0.033373,            0.005424,           0.0088399,           0.0088399,             0.01584
                  49,            0.045442,             0.03488,           0.0067627,             0.77502,             0.80689,             0.82367,             0.40926,            0.040567,            0.034465,           0.0054498,           0.0090011,           0.0090011,            0.014101
                  50,            0.047146,             0.03739,            0.006371,             0.76132,             0.77492,             0.79765,             0.34646,            0.043581,            0.032994,            0.005169,           0.0091613,           0.0091613,            0.012361
                  51,            0.048302,            0.033856,           0.0066663,             0.78699,              0.7906,             0.82396,              0.3371,            0.044461,            0.034682,           0.0051824,           0.0093202,           0.0093202,             0.01062
                  52,            0.045879,            0.035612,           0.0068616,              0.7008,             0.80392,             0.77625,             0.31818,            0.041676,            0.033908,           0.0048941,           0.0094215,           0.0094215,           0.0094215
                  53,            0.045372,            0.035187,           0.0064324,             0.81765,              0.7933,             0.85578,             0.42436,            0.038544,            0.032387,           0.0048917,           0.0094215,           0.0094215,           0.0094215
                  54,            0.044865,            0.035868,            0.006305,             0.73818,             0.71468,             0.75457,             0.36136,            0.041834,            0.037732,           0.0061964,           0.0093996,           0.0093996,           0.0093996
                  55,            0.044454,            0.037338,           0.0063726,             0.81658,             0.82449,             0.84132,             0.40636,            0.039798,             0.03283,            0.004542,           0.0093773,           0.0093773,           0.0093773
                  56,            0.043288,            0.035605,            0.006282,             0.71097,             0.49375,             0.54606,             0.24091,            0.059917,            0.049565,            0.017535,           0.0093547,           0.0093547,           0.0093547
                  57,            0.041547,            0.033451,           0.0063569,             0.74407,             0.77983,             0.78347,             0.38455,            0.040892,            0.037709,           0.0063248,           0.0093317,           0.0093317,           0.0093317
                  58,            0.039901,            0.034007,           0.0062601,             0.82158,             0.78174,               0.826,              0.4184,            0.038105,             0.03419,           0.0049565,           0.0093083,           0.0093083,           0.0093083
                  59,            0.040383,              0.0342,           0.0058967,             0.85241,             0.79883,             0.84541,             0.43406,            0.037875,            0.032302,           0.0045069,           0.0092846,           0.0092846,           0.0092846
                  60,            0.040398,            0.035069,           0.0057729,             0.81092,             0.69608,             0.76222,             0.38233,            0.041859,            0.037036,           0.0056929,           0.0092605,           0.0092605,           0.0092605
                  61,            0.038829,            0.031576,           0.0056597,             0.85294,             0.78556,             0.83279,             0.46403,            0.035828,            0.034367,           0.0044033,           0.0092361,           0.0092361,           0.0092361
                  62,            0.042147,            0.033891,           0.0058132,             0.79322,             0.78328,             0.81029,             0.41022,            0.038744,            0.034102,           0.0046825,           0.0092113,           0.0092113,           0.0092113
                  63,            0.042087,            0.034211,           0.0061373,              0.7988,             0.77799,              0.8199,             0.42835,            0.037087,            0.034714,           0.0046563,           0.0091861,           0.0091861,           0.0091861
                  64,            0.036837,            0.031728,           0.0060065,             0.88763,             0.71996,             0.83002,             0.46017,             0.03595,            0.034055,           0.0045229,           0.0091606,           0.0091606,           0.0091606
                  65,            0.037832,            0.031547,           0.0052733,             0.79674,             0.84563,              0.8548,             0.43516,            0.035893,            0.033442,            0.004477,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040723,            0.032977,           0.0051357,             0.81908,             0.78396,             0.82204,             0.41481,            0.037685,            0.033771,           0.0042332,           0.0091086,           0.0091086,           0.0091086
                  67,            0.041524,            0.033698,            0.005698,             0.78223,             0.82517,             0.84478,             0.41007,            0.039005,            0.031748,           0.0042711,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040672,            0.033954,           0.0056124,             0.79086,             0.83043,             0.85426,             0.44197,            0.037086,            0.031288,           0.0043515,           0.0090552,           0.0090552,           0.0090552
                  69,             0.03816,            0.031906,            0.005917,             0.80632,             0.80909,              0.8332,             0.44146,            0.036644,            0.033285,           0.0047077,            0.009028,            0.009028,            0.009028
                  70,            0.036383,            0.032777,           0.0052045,             0.82651,             0.78842,             0.84053,             0.44637,            0.036185,            0.033276,           0.0043429,           0.0090004,           0.0090004,           0.0090004
                  71,            0.037672,            0.032755,           0.0059274,              0.8311,             0.83121,             0.88142,             0.48358,            0.034697,            0.031372,           0.0041351,           0.0089726,           0.0089726,           0.0089726
                  72,            0.035676,            0.031334,           0.0050836,             0.82339,             0.84291,             0.85802,             0.47806,            0.034884,            0.031898,           0.0039536,           0.0089444,           0.0089444,           0.0089444
                  73,            0.036398,            0.030346,           0.0053111,             0.79521,             0.79217,             0.81498,             0.43718,            0.035534,            0.033597,           0.0043422,           0.0089159,           0.0089159,           0.0089159
                  74,             0.03845,            0.029885,            0.005415,             0.85247,              0.8006,             0.85093,             0.46808,            0.034787,            0.034556,           0.0039418,            0.008887,            0.008887,            0.008887
                  75,             0.03816,            0.031861,           0.0050296,             0.83054,             0.83338,             0.85346,             0.47998,            0.034092,            0.032769,            0.004251,           0.0088579,           0.0088579,           0.0088579
                  76,            0.037438,            0.032743,           0.0054126,             0.82191,             0.84769,             0.87103,             0.47419,            0.033998,            0.031844,           0.0038874,           0.0088284,           0.0088284,           0.0088284
                  77,            0.034059,             0.02951,           0.0052248,             0.80074,             0.85013,             0.86328,             0.48144,            0.033498,            0.031848,           0.0037938,           0.0087987,           0.0087987,           0.0087987
                  78,            0.035187,            0.030866,           0.0056276,             0.85004,             0.81155,             0.85128,             0.47347,            0.033884,            0.031772,           0.0037425,           0.0087686,           0.0087686,           0.0087686
                  79,            0.035863,            0.030579,           0.0049288,             0.86437,               0.814,              0.8578,             0.46118,             0.03505,            0.032478,           0.0040161,           0.0087382,           0.0087382,           0.0087382
                  80,            0.038384,             0.03296,           0.0050431,             0.87101,             0.78578,             0.84838,             0.46456,            0.035553,            0.035392,           0.0048497,           0.0087075,           0.0087075,           0.0087075
                  81,             0.03318,            0.030072,           0.0046129,             0.89222,             0.76704,             0.85053,             0.48871,            0.034151,            0.033813,           0.0039946,           0.0086765,           0.0086765,           0.0086765
                  82,            0.034203,            0.032049,           0.0050337,             0.84455,             0.79989,             0.84139,              0.4683,            0.035028,            0.033139,           0.0039549,           0.0086452,           0.0086452,           0.0086452
                  83,            0.035066,            0.030405,           0.0051065,             0.82927,             0.82969,             0.83731,             0.48064,            0.033984,            0.034053,            0.004082,           0.0086137,           0.0086137,           0.0086137
                  84,            0.035587,            0.031907,           0.0049997,              0.8734,             0.80296,             0.85454,             0.48258,            0.035397,            0.033196,           0.0039229,           0.0085818,           0.0085818,           0.0085818
                  85,            0.034035,            0.030461,           0.0049774,             0.83203,             0.81357,             0.84599,             0.47816,            0.033764,            0.032664,           0.0043601,           0.0085497,           0.0085497,           0.0085497
                  86,            0.033704,            0.029854,           0.0051887,             0.81525,              0.8288,             0.84159,             0.45557,            0.035986,            0.033145,           0.0037534,           0.0085173,           0.0085173,           0.0085173
                  87,            0.036251,            0.030095,            0.005486,              0.8063,             0.84181,              0.8541,             0.46675,            0.035058,            0.032001,           0.0037724,           0.0084846,           0.0084846,           0.0084846
                  88,            0.034451,            0.031351,           0.0048618,             0.82336,             0.84557,             0.87663,             0.49164,            0.032812,             0.03163,           0.0037228,           0.0084516,           0.0084516,           0.0084516
                  89,            0.034289,            0.029296,           0.0047329,             0.84702,             0.83731,             0.88198,             0.50483,            0.032671,              0.0314,           0.0038064,           0.0084184,           0.0084184,           0.0084184
                  90,            0.033814,            0.030918,           0.0049504,             0.85022,             0.84847,             0.87835,             0.50257,            0.032791,            0.032476,           0.0037199,           0.0083849,           0.0083849,           0.0083849
                  91,            0.035709,            0.032296,           0.0047911,             0.81081,             0.87765,             0.87757,             0.48884,              0.0327,            0.031729,           0.0037344,           0.0083511,           0.0083511,           0.0083511
                  92,             0.03212,            0.030151,           0.0050853,             0.86017,             0.82421,              0.8758,             0.50008,            0.033852,            0.033027,           0.0039534,           0.0083171,           0.0083171,           0.0083171
                  93,            0.032383,            0.031089,           0.0046242,             0.82656,             0.83953,             0.86365,             0.48432,            0.033995,            0.033349,           0.0038681,           0.0082829,           0.0082829,           0.0082829
                  94,            0.033457,            0.028374,           0.0047606,              0.8733,             0.80659,             0.86969,             0.51107,            0.032164,            0.031945,           0.0039742,           0.0082483,           0.0082483,           0.0082483
                  95,            0.033397,             0.02984,           0.0049534,             0.82759,             0.83865,             0.86476,             0.48047,            0.032982,             0.03191,           0.0038933,           0.0082136,           0.0082136,           0.0082136
                  96,            0.031961,            0.028739,           0.0048475,             0.87046,             0.82264,             0.86248,              0.4854,             0.03303,            0.033583,           0.0037516,           0.0081786,           0.0081786,           0.0081786
                  97,            0.030953,            0.029135,           0.0043107,             0.84211,             0.83672,             0.85097,             0.49558,            0.032815,            0.034093,           0.0039142,           0.0081433,           0.0081433,           0.0081433
                  98,             0.03296,            0.027891,           0.0051874,             0.82028,             0.81878,             0.84928,             0.47744,            0.033115,            0.033336,           0.0039668,           0.0081078,           0.0081078,           0.0081078
                  99,            0.032873,            0.027933,           0.0049646,             0.81843,             0.77582,             0.84712,             0.49274,            0.033579,            0.033826,           0.0040785,           0.0080721,           0.0080721,           0.0080721
                 100,            0.029965,            0.027312,           0.0046508,             0.87171,             0.79016,             0.86041,             0.49113,            0.033983,            0.033218,           0.0040129,           0.0080362,           0.0080362,           0.0080362
